Codigo_Edi;Numero_Alt;AnoC;Numero_Viv;USO;Npot;LCZ.cat;BUFF_RSOL;BUFF_SVF;BUFF_NDVI;BUFF_ACUS;BUFF_ALBED;BUFF_OZONO;perimetro;area;conv;elon;num_vecinos;vol;comp
36;6;1962;12;1;3;2;0.4;0.514;0.184;61.82;0.148;52.971;57.83739734;175.79025;0.964804102;0.812631368;2;3691.59525;0.329013682
37;6;1962;12;1;3;2;0.2;0.371;0.196;61.826;0.147;52.982;61.62187651;197.6213;0.984810831;0.808698967;2;4150.0473;0.31181799
38;6;1962;12;1;3;2;0.36;0.535;0.219;61.807;0.149;52.971;61.74700227;197.89215;0.985348398;0.807613068;2;4155.73515;0.312023505
39;6;1962;12;1;3;2;0.2;0.385;0.206;61.811;0.163;52.981;61.53259545;203.68435;0.999508304;0.822202;2;4277.37135;0.302097807
40;6;1962;12;1;3;2;0.32;0.453;0.27;61.79;0.16;52.976;61.09084155;201.0381;1;0.822750225;2;4221.8001;0.303876935
41;6;1962;12;1;3;2;0.32;0.441;0.218;61.795;0.139;52.987;61.4728682;202.8386;0.998971669;0.821290421;1;4259.6106;0.303062968
42;6;1962;12;1;3;4;0.36;0.587;0.252;61.773;0.139;52.977;61.23138405;200.98655;1;0.820756543;1;4220.71755;0.304654138
43;6;1962;12;1;3;2;0.2;0.46;0.237;61.776;0.118;52.99;61.55231899;205.3214;1;0.825234965;1;4311.7494;0.29978521
44;6;1962;12;1;3;4;0.36;0.614;0.232;61.749;0.124;52.981;61.51196984;205.80795;1;0.826754125;1;4321.96695;0.298880436
45;6;1962;12;1;3;2;0.2;0.402;0.225;61.768;0.141;52.993;60.84844359;198.86315;0.992681548;0.82154738;2;4176.12615;0.305981493
46;6;1962;12;1;3;4;0.4;0.54;0.237;61.738;0.135;52.983;61.22817745;200.99595;0.991199598;0.820818721;2;4220.91495;0.304623936
47;6;1960;15;1;3;2;0.48;0.568;0.213;61.76;0.166;52.996;63.96061992;212.8841;0.929385645;0.808656125;2;4470.5661;0.300448084
48;6;1960;15;1;3;4;0.56;0.67;0.21;61.734;0.163;52.986;70.27457608;244.85785;0.92053744;0.789339277;2;5142.01485;0.287001524
49;6;1958;10;1;3;2;0.28;0.637;0.26;61.75;0.158;52.999;65.30882649;216.8687;0.918363138;0.799339897;2;4554.2427;0.301144547
50;6;1958;10;1;3;2;0.32;0.681;0.272;61.723;0.149;52.992;65.04860399;215.2637;0.918351092;0.79956238;2;4520.5377;0.302181018
51;6;1958;10;1;3;2;0.28;0.525;0.249;61.758;0.158;53.005;60.78122737;198.51515;0.999438897;0.821735964;2;4168.81815;0.306179288
52;6;1958;10;1;3;2;0.36;0.537;0.277;61.726;0.142;52.995;60.214195;195.59565;0.999370015;0.823352187;2;4107.50865;0.307850379
53;6;1958;10;1;3;2;0.28;0.481;0.16;61.762;0.144;53.008;60.25543492;194.738;0.999674284;0.820982801;2;4089.498;0.309417961
54;6;1958;10;1;3;2;0.36;0.505;0.237;61.731;0.147;52.995;60.72101364;197.913;0.999819398;0.821302378;2;4156.173;0.306806595
55;6;1958;10;1;3;2;0.28;0.481;0.152;61.768;0.143;53.01;64.54164417;213.4928;0.92045909;0.802521218;2;4483.3488;0.302312978
56;6;1958;11;1;3;2;0.36;0.488;0.189;61.738;0.141;52.998;64.91067906;214.8851;0.918591111;0.800556395;2;4512.5871;0.302071568
57;6;1955;12;1;3;2;0.24;0.439;0.189;61.778;0.166;53.014;63.20503481;204.06875;0.917370927;0.801201049;2;4285.44375;0.309724222
58;6;1955;11;1;3;2;0.36;0.523;0.203;61.752;0.137;53.002;64.299392;215.34095;0.929883774;0.809023949;2;4522.15995;0.298593426
